City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ribeira grande,38.5167,-28.7,12.71,61,99,12.32,PT,1613361864
ushuaia,-54.8,-68.3,9.0,71,75,2.57,AR,1613361864
vilkaviskis,54.6517,23.0322,-11.67,94,5,2.68,LT,1613361864
boa vista,2.8197,-60.6733,27.0,69,40,4.63,BR,1613361865
fortaleza,-3.7227,-38.5247,27.22,83,40,2.06,BR,1613361821
bluff,-46.6,168.3333,16.11,71,66,5.36,NZ,1613361865
beaverlodge,55.2166,-119.4361,-23.0,77,75,3.6,CA,1613361865
hobart,-42.8794,147.3294,19.44,67,75,3.6,AU,1613361804
severo-kurilsk,50.6789,156.125,-2.99,93,87,5.2,RU,1613361865
kirakira,-10.4544,161.9205,29.29,76,22,5.2,SB,1613361866
tuktoyaktuk,69.4541,-133.0374,-22.0,77,75,3.6,CA,1613361797
beira,-19.8436,34.8389,24.0,94,40,3.6,MZ,1613361866
arrecife,28.963,-13.5477,17.0,88,90,4.12,ES,1613361866
castro,-24.7911,-50.0119,16.6,94,21,1.96,BR,1613361866
kapaa,22.0752,-159.319,25.0,73,1,3.09,US,1613361867
jamestown,42.097,-79.2353,-8.89,79,75,1.41,US,1613361867
maralal,1.0968,36.698,15.58,72,99,2.36,KE,1613361867
lebu,-37.6167,-73.65,14.09,80,0,8.05,CL,1613361867
avera,33.194,-82.5271,6.0,95,90,3.09,US,1613361867
viedma,-40.8135,-62.9967,17.22,68,99,10.38,AR,1613361726
ilulissat,69.2167,-51.1,-13.0,61,90,4.63,GL,1613361868
pochutla,15.7432,-96.4661,22.78,50,0,0.45,MX,1613361868
opuwo,-18.0607,13.84,15.6,86,89,0.3,NA,1613361678
kodiak,57.79,-152.4072,4.0,87,90,3.6,US,1613361868
cidreira,-30.1811,-50.2056,20.82,84,100,3.36,BR,1613361868
san andres,12.5847,-81.7006,26.0,83,40,1.03,CO,1613361857
ancud,-41.8697,-73.8203,10.56,71,0,4.12,CL,1613361869
maneadero,31.7167,-116.5667,13.89,87,65,1.34,MX,1613361869
san cristobal,7.7669,-72.225,19.3,88,93,0.5,VE,1613361869
dikson,73.5069,80.5464,-29.94,87,100,6.26,RU,1613361869
nhulunbuy,-12.2333,136.7667,31.0,66,40,6.17,AU,1613361870
pimentel,-6.8367,-79.9342,22.22,88,43,1.34,PE,1613361870
taoudenni,22.6783,-3.9836,18.73,27,0,9.91,ML,1613361870
dakar,14.6937,-17.4441,19.0,82,80,2.06,SN,1613361870
bredasdorp,-34.5322,20.0403,17.0,51,6,4.63,ZA,1613361870
rtishchevo,52.2604,43.7874,-22.86,91,77,3.05,RU,1613361870
provideniya,64.3833,-173.3,-10.0,73,20,9.0,RU,1613361871
marystown,47.1666,-55.1483,-3.27,96,100,7.25,CA,1613361871
khatanga,71.9667,102.5,-37.41,82,53,0.27,RU,1613361871
qaanaaq,77.484,-69.3632,-15.86,88,100,1.26,GL,1613361871
aleksandrovsk-sakhalinskiy,50.8975,142.1561,-8.18,93,78,2.19,RU,1613361871
henties bay,-22.116,14.2845,17.28,87,25,2.2,NA,1613361871
nanortalik,60.1432,-45.2371,-5.64,90,38,5.17,GL,1613361872
yerbogachen,61.2767,108.0108,-32.65,81,9,1.7,RU,1613361836
salem,11.65,78.1667,26.0,65,20,1.12,IN,1613361872
turan,16.0678,108.2208,26.0,61,20,2.06,VN,1613361627
diu,20.7141,70.9822,21.98,57,0,1.33,IN,1613361872
butaritari,3.0707,172.7902,26.6,78,95,8.56,KI,1613361873
lasa,46.6166,10.7002,-5.0,67,0,1.03,IT,1613361873
east london,-33.0153,27.9116,20.0,94,75,7.72,ZA,1613361841
nabire,-3.3667,135.4833,30.32,60,99,2.48,ID,1613361873
cabo san lucas,22.8909,-109.9124,17.22,77,20,6.69,MX,1613361769
dahuk,36.8695,42.994,9.36,52,0,2.67,IQ,1613361874
mancora,-4.1078,-81.0475,25.64,69,97,4.51,PE,1613361874
olafsvik,64.8945,-23.7142,4.69,80,100,4.62,IS,1613361874
atuona,-9.8,-139.0333,26.16,74,1,5.22,PF,1613361874
hilo,19.7297,-155.09,25.0,69,40,5.14,US,1613361808
kaeo,-35.1,173.7833,21.67,96,91,5.81,NZ,1613361875
kavieng,-2.5744,150.7967,29.48,71,5,4.24,PG,1613361875
garachine,8.0647,-78.3628,25.57,78,57,3.34,PA,1613361875
conceicao do araguaia,-8.2578,-49.2647,23.81,93,100,2.23,BR,1613361875
ukiah,39.1502,-123.2078,8.0,93,90,0.84,US,1613361875
alofi,-19.0595,-169.9187,29.0,74,40,4.63,NU,1613361876
valley,45.1277,-116.1262,-4.0,86,90,2.58,US,1613361876
acari,-15.4311,-74.6158,22.39,67,57,0.78,PE,1613361876
cayenne,4.9333,-52.3333,26.0,78,75,5.14,GF,1613361607
liku,-0.7275,119.8922,31.18,49,93,1.92,ID,1613361877
tasiilaq,65.6145,-37.6368,-1.0,80,90,0.51,GL,1613361877
saskylakh,71.9167,114.0833,-28.96,85,100,6.53,RU,1613361877
new norfolk,-42.7826,147.0587,20.0,65,100,0.45,AU,1613361877
valparaiso,-33.0393,-71.6273,15.0,94,90,2.06,CL,1613361727
dongsheng,39.8161,109.9776,-1.12,66,0,9.54,CN,1613361881
leningradskiy,69.3833,178.4167,-25.65,85,0,2.37,RU,1613361881
chipinge,-20.1883,32.6236,18.74,99,89,2.16,ZW,1613361882
paamiut,61.994,-49.6678,-13.3,87,43,5.18,GL,1613361882
iqaluit,63.7506,-68.5145,-19.0,71,90,4.12,CA,1613361617
panji,-7.7253,114.0995,29.34,69,90,3.05,ID,1613361882
celestun,20.8667,-90.4,22.71,81,0,4.71,MX,1613361882
husavik,66.0449,-17.3389,3.0,87,90,2.06,IS,1613361883
cockburn town,21.4612,-71.1419,25.29,77,0,11.27,TC,1613361883
laureles,26.1092,-97.4941,0.0,93,90,11.83,US,1613361883
pevek,69.7008,170.3133,-28.56,86,37,0.44,RU,1613361883
beringovskiy,63.05,179.3167,-18.19,87,97,8.92,RU,1613361883
dryden,49.7833,-92.7503,-29.0,69,1,3.09,CA,1613361866
kahului,20.8947,-156.47,26.0,65,40,2.57,US,1613361884
sola,-13.8833,167.55,30.0,84,75,2.57,VU,1613361884
port lincoln,-34.7333,135.8667,22.0,60,1,3.93,AU,1613361884
rocha,-34.4833,-54.3333,19.6,91,96,1.72,UY,1613361746
meadow lake,34.8014,-106.5436,-10.56,67,90,3.09,US,1613361731
quatre cocos,-20.2078,57.7625,28.33,88,40,2.06,MU,1613361884
udachnyy,66.4167,112.4,-31.42,83,100,6.19,RU,1613361684
ise,34.4833,136.7,15.0,88,75,8.23,JP,1613361885
mildura,-34.2,142.15,31.67,26,0,2.57,AU,1613361710
talnakh,69.4865,88.3972,-34.47,81,15,3.5,RU,1613361885
broome,42.2506,-75.833,-5.56,73,1,2.06,US,1613361885
tshikapa,-6.4167,20.8,21.99,90,100,0.5,CD,1613361886
sangar,63.9242,127.4739,-26.0,88,100,1.39,RU,1613361886
bustamante,26.5333,-100.5,0.85,87,66,5.74,MX,1613361886
manggar,-2.8833,108.2667,29.16,66,100,5.48,ID,1613361886
bubaque,11.2833,-15.8333,24.86,61,100,4.46,GW,1613361886
tiksi,71.6872,128.8694,-27.19,89,99,2.66,RU,1613361740
camacha,33.0833,-16.3333,15.0,82,20,3.09,PT,1613361887
samarai,-10.6167,150.6667,29.85,67,100,4.23,PG,1613361887
moerai,-22.4333,-151.3333,27.14,74,84,8.01,PF,1613361887
freeport,40.6576,-73.5832,2.22,69,90,2.57,US,1613361888
yelizavetino,59.4916,29.7938,-21.0,77,40,3.0,RU,1613361888
olinda,-8.0089,-34.8553,25.0,83,40,3.09,BR,1613361685
kimparana,12.8347,-4.9244,23.0,19,0,2.02,ML,1613361888
saint-philippe,-21.3585,55.7679,28.0,61,0,2.57,RE,1613361888
comodoro rivadavia,-45.8667,-67.5,13.0,67,0,3.6,AR,1613361888
verkhnyaya inta,65.9811,60.3094,-25.28,86,100,4.63,RU,1613361889
cape town,-33.9258,18.4232,18.89,55,20,2.57,ZA,1613361617
luena,-11.7833,19.9167,14.91,72,44,1.5,AO,1613361889
banda aceh,5.5577,95.3222,29.9,64,30,5.56,ID,1613361798
barrow,71.2906,-156.7887,-24.0,77,90,3.6,US,1613361889
antofagasta,-23.65,-70.4,19.0,72,0,2.57,CL,1613361889
yar-sale,66.8333,70.8333,-30.14,86,100,8.07,RU,1613361890
hovd,48.0056,91.6419,-7.01,76,0,1.37,MN,1613361767
padang,-0.9492,100.3543,30.0,74,20,2.06,ID,1613361890
ponta do sol,32.6667,-17.1,13.33,65,12,2.24,PT,1613361890
sinnamary,5.3833,-52.95,24.98,81,86,6.47,GF,1613361890
sorong,-0.8833,131.25,28.67,73,78,3.14,ID,1613361820
san carlos de bariloche,-41.1456,-71.3082,13.0,54,40,2.57,AR,1613361891
torbay,47.6666,-52.7314,-5.0,79,90,6.17,CA,1613361891
thompson,55.7435,-97.8558,-22.0,84,75,2.06,CA,1613361568
jiexiu,37.0244,111.9125,3.87,45,0,5.15,CN,1613361891
martapura,-3.4167,114.85,30.0,70,20,1.54,ID,1613361891
sitka,57.0531,-135.33,1.0,51,90,2.06,US,1613361892
sao filipe,14.8961,-24.4956,21.12,77,68,3.17,CV,1613361892
mar del plata,-38.0023,-57.5575,20.56,100,75,1.54,AR,1613361758
vila velha,-20.3297,-40.2925,26.0,78,40,2.57,BR,1613361892
katsuura,35.1333,140.3,17.0,94,75,6.17,JP,1613361892
carnarvon,-24.8667,113.6333,30.0,84,0,4.12,AU,1613361892
hornslet,56.3155,10.3204,-1.0,80,90,3.09,DK,1613361893
malayal,7.208,121.942,29.0,74,75,1.03,PH,1613361894
ostrovnoy,68.0531,39.5131,-7.73,96,100,6.85,RU,1613361894
inta,66.0317,60.1659,-24.56,85,100,5.47,RU,1613361894
brindisi,40.5833,17.6667,5.0,45,75,14.92,IT,1613361894
zhigansk,66.7697,123.3711,-28.99,85,100,2.36,RU,1613361895
atar,20.5169,-13.0499,18.28,27,0,4.51,MR,1613361717
port-gentil,-0.7193,8.7815,27.53,80,100,6.37,GA,1613361895
bathsheba,13.2167,-59.5167,26.0,65,75,10.8,BB,1613361895
carutapera,-1.195,-46.02,24.64,93,100,2.74,BR,1613361895
lormont,44.875,-0.5178,6.0,75,0,7.2,FR,1613361895
mutis,6.2262,-77.4044,26.21,80,95,0.5,CO,1613361896
port elizabeth,-33.918,25.5701,20.0,83,40,11.32,ZA,1613361896
salalah,17.0151,54.0924,20.0,45,0,2.06,OM,1613361819
carlisle,40.2015,-77.1889,0.0,74,100,1.47,US,1613361823
nuevo progreso,23.1667,-97.95,8.89,70,38,3.13,MX,1613361896
dingle,10.9995,122.6711,26.38,84,98,4.28,PH,1613361897
plettenberg bay,-34.0527,23.3716,18.83,81,98,7.09,ZA,1613361897
nsanje,-16.92,35.262,25.49,76,100,2.2,MW,1613361897
sivaki,52.6333,126.75,-21.7,90,92,2.89,RU,1613361897
griffith,41.5284,-87.4237,-15.56,72,90,5.14,US,1613361899
tagusao,9.1924,117.8141,26.9,68,92,2.45,PH,1613361899
conde,-7.2597,-34.9075,26.0,89,20,2.57,BR,1613361899
tuatapere,-46.1333,167.6833,16.11,71,68,5.36,NZ,1613361899
nemuro,43.3236,145.575,0.0,100,75,3.09,JP,1613361762
yulara,-25.2406,130.9889,34.0,17,21,6.69,AU,1613361900
brainerd,46.358,-94.2008,-27.0,58,1,1.54,US,1613361900
panorama,40.5878,23.0315,-1.0,55,20,4.63,GR,1613361900
mafinga,-7.25,35.0667,18.38,93,97,1.56,TZ,1613361678
copperas cove,31.1241,-97.9031,-11.11,79,90,9.26,US,1613361901
lagoa,39.05,-27.9833,11.69,64,86,14.64,PT,1613361901
saint george,37.1041,-113.5841,6.67,39,1,1.54,US,1613361901
cantapoy,9.4906,125.4364,27.08,80,52,1.74,PH,1613361901
port blair,11.6667,92.75,27.82,70,12,3.9,IN,1613361902
totolapa,18.5167,-96.1833,21.11,88,40,2.57,MX,1613361903
clyde river,70.4692,-68.5914,-26.0,84,72,1.54,CA,1613361716
ilheus,-14.7889,-39.0494,23.0,94,20,2.57,BR,1613361696
noumea,-22.2763,166.4572,30.0,66,75,5.66,NC,1613361175
santa isabel do rio negro,-0.4139,-65.0192,24.56,84,98,0.95,BR,1613361903
hermanus,-34.4187,19.2345,17.22,66,44,0.89,ZA,1613361904
saint-augustin,51.226,-58.6502,-17.91,88,78,3.65,CA,1613361904
ulladulla,-35.35,150.4667,22.0,49,75,8.75,AU,1613361904
sao joao da barra,-21.6403,-41.0511,24.42,87,100,4.14,BR,1613361904
bonthe,7.5264,-12.505,25.36,91,11,1.72,SL,1613361904
gat,31.61,34.7642,13.89,100,1,0.56,IL,1613361905
longyearbyen,78.2186,15.6401,-7.0,79,75,1.03,SJ,1613361905
sao felix do xingu,-6.6447,-51.995,22.49,97,100,0.45,BR,1613361905
bethel,41.3712,-73.414,0.0,69,90,3.6,US,1613361905
matay,28.419,30.7792,9.81,86,0,2.76,EG,1613361905
popondetta,-8.7537,148.2534,30.64,66,100,2.23,PG,1613361906
zhezkazgan,47.8043,67.7144,-6.96,98,100,3.11,KZ,1613361906
portland,45.5234,-122.6762,0.56,93,90,3.6,US,1613361691
mehndawal,26.9753,83.1117,19.78,41,0,2.08,IN,1613361906
banyo,6.75,11.8167,17.96,27,29,1.72,CM,1613361906
kununurra,-15.7667,128.7333,33.0,75,40,0.51,AU,1613361907
ambulu,-8.345,113.6058,29.63,62,88,2.12,ID,1613361907
ciudad bolivar,8.1222,-63.5497,25.59,72,65,6.36,VE,1613361907
tilichiki,60.4667,166.1,-17.49,92,99,4.31,RU,1613361907
nova odesa,47.3078,31.7851,-8.01,97,0,2.48,UA,1613361907
andenes,69.3143,16.1194,2.0,80,75,4.63,NO,1613361908
goderich,43.7501,-81.7165,-7.0,73,100,1.54,CA,1613361683
cooma,-36.2333,149.1333,18.0,52,40,3.6,AU,1613361908
awbari,26.5921,12.7805,9.37,73,0,4.33,LY,1613361908
krasnooktyabrskiy,44.9328,38.3712,-5.56,75,100,4.07,RU,1613361908
paka,4.6374,103.4368,28.0,74,40,3.6,MY,1613361909
gamba,-2.65,10.0,25.89,87,100,3.28,GA,1613361909
souillac,-20.5167,57.5167,24.0,88,40,2.06,MU,1613361909
ternate,0.8,127.4,25.81,85,100,4.36,ID,1613361909
lebanon,36.2081,-86.2911,-1.11,93,90,4.66,US,1613361909
auburn,47.3073,-122.2284,1.11,93,90,5.66,US,1613361855
mareeba,-17.0,145.4333,31.67,74,75,4.12,AU,1613361910
biak,-0.9131,122.8766,29.48,67,96,0.27,ID,1613361910
sharjah,25.3573,55.4033,14.0,100,90,2.06,AE,1613361787
zhangye,38.9342,100.4517,3.44,64,52,1.21,CN,1613361910
omsukchan,62.5333,155.8,-30.01,83,21,1.8,RU,1613361910
gizo,-8.103,156.8419,29.28,71,99,3.69,SB,1613361910
muroto,33.2833,134.15,20.0,45,40,8.75,JP,1613361911
nizwa,22.9333,57.5333,21.48,31,0,0.66,OM,1613361911
ahipara,-35.1667,173.1667,23.76,72,71,10.27,NZ,1613361725
grindavik,63.8424,-22.4338,4.0,100,75,5.14,IS,1613361911
shakawe,-18.3667,21.85,18.55,84,100,3.1,BW,1613361911
maceio,-9.6658,-35.7353,24.0,94,20,1.54,BR,1613361712
tabuk,17.4189,121.4443,24.95,69,88,2.99,PH,1613361912
turayf,31.6725,38.6637,9.0,81,0,2.06,SA,1613361912
upernavik,72.7868,-56.1549,-18.73,91,98,2.91,GL,1613361912
bideford,51.0179,-4.2046,8.33,94,100,2.68,GB,1613361913
san buenaventura,27.0833,-101.5333,-4.44,92,92,8.43,MX,1613361913
norman wells,65.282,-126.8329,-23.0,77,75,2.39,CA,1613361913
lakeland highlands,27.9597,-81.9501,22.22,94,90,3.41,US,1613361913
ventspils,57.3894,21.5606,-3.0,80,90,1.54,LV,1613361913
chiredzi,-21.05,31.6667,22.55,93,96,3.6,ZW,1613361914
rawson,-43.3002,-65.1023,14.5,63,15,7.73,AR,1613361655
narsaq,60.9167,-46.05,-2.0,86,75,2.57,GL,1613361914
egvekinot,66.3167,-179.1667,-22.14,88,73,10.17,RU,1613361915
kungurtug,50.5994,97.5228,-8.8,92,100,0.77,RU,1613361915
khetri,27.9833,75.8,21.44,25,0,1.69,IN,1613361915
peace river,56.2501,-117.286,-25.0,70,1,2.57,CA,1613361748
srandakan,-7.9386,110.2506,30.61,62,76,2.02,ID,1613361915
espanola,35.9911,-106.0806,-15.56,85,90,3.6,US,1613361873
fortuna,40.5982,-124.1573,10.0,100,90,7.2,US,1613361665
linxia,35.6003,103.2064,0.98,76,100,0.9,CN,1613361916
phan thiet,10.9333,108.1,26.75,55,46,3.22,VN,1613361864
tura,25.5198,90.2201,25.52,28,0,1.25,IN,1613361916
saint-ambroise,48.5501,-71.3324,-11.11,85,98,1.03,CA,1613361916
porto novo,6.4965,2.6036,28.0,89,40,5.14,BJ,1613361916
nome,64.5011,-165.4064,-6.0,68,90,1.54,US,1613361917
dengzhou,37.8086,120.7508,-1.18,83,67,8.31,CN,1613361917
cururupu,-1.8283,-44.8683,24.01,95,100,1.3,BR,1613361917
grojec,51.8625,20.8676,-6.11,100,100,6.11,PL,1613361917
tahe,52.3333,124.7333,-21.33,85,94,3.36,CN,1613361917
havoysund,70.9963,24.6622,1.0,86,90,1.03,NO,1613361918
colac,-38.3333,143.5833,20.56,70,85,0.89,AU,1613361918
klaksvik,62.2266,-6.589,8.0,87,75,6.17,FO,1613361747
erzin,36.9559,36.2,12.78,76,1,1.22,TR,1613361918
aktau,43.65,51.2,3.0,87,90,1.0,KZ,1613361918
puerto ayora,-0.7393,-90.3518,25.0,91,81,2.69,EC,1613361918
semey,50.4111,80.2275,-13.0,85,0,5.0,KZ,1613361919
svetlogorsk,52.6333,29.7333,-13.02,96,40,2.51,BY,1613361919
makkaveyevo,51.7533,113.9454,-22.0,64,100,2.1,RU,1613361919
santa rosalia,27.3167,-112.2833,13.19,59,91,1.41,MX,1613361919
airai,-8.9266,125.4092,22.89,71,99,2.08,TL,1613361919
la ronge,55.1001,-105.2842,-27.0,83,0,1.03,CA,1613361920
kachiry,53.0675,76.1036,-5.81,97,100,3.61,KZ,1613361920
kurumkan,54.3,110.3,-19.93,82,73,0.44,RU,1613361920
manturovo,58.3353,44.7619,-21.03,91,99,2.41,RU,1613361920
kalevala,65.2,31.1667,-16.45,92,20,2.71,RU,1613361920
tacuati,-23.45,-56.5833,23.58,82,19,1.29,PY,1613361921
hasaki,35.7333,140.8333,15.0,100,75,8.75,JP,1613361921
kingaroy,-26.5333,151.8333,29.0,45,75,4.63,AU,1613361729
bijar,35.8668,47.6051,0.84,80,0,1.7,IR,1613361921
pisco,-13.7,-76.2167,22.0,78,0,1.54,PE,1613361826
ashta,23.0167,76.7167,24.95,22,0,1.36,IN,1613361922
hibbing,47.4272,-92.9377,-27.0,57,1,3.09,US,1613361922
milkovo,54.7167,158.6167,-15.51,89,79,0.46,RU,1613361922
san francisco,37.7749,-122.4194,12.22,91,100,1.34,US,1613361892
codrington,-38.2667,141.9667,20.26,63,100,5.81,AU,1613361922
tupa,-21.9347,-50.5136,21.61,89,96,0.7,BR,1613361923
ponta delgada,37.7333,-25.6667,16.0,77,75,13.38,PT,1613361729
lishui,28.4604,119.9103,20.05,47,0,1.5,CN,1613361923
maua,-23.6678,-46.4614,23.33,85,100,1.79,BR,1613361923
maltahohe,-24.8333,16.9833,16.03,45,0,2.63,NA,1613361923
kalabo,-14.97,22.6814,17.68,75,99,1.83,ZM,1613361924
wad madani,14.4012,33.5199,21.53,27,0,3.74,SD,1613361924
amarante do maranhao,-5.5667,-46.7422,22.22,98,100,0.78,BR,1613361924
nexo,55.0607,15.1306,-8.0,100,57,1.54,DK,1613361924
grand-santi,4.25,-54.3833,21.15,97,99,1.11,GF,1613361924
muskegon,43.3,-86.1334,-12.0,61,90,3.6,US,1613361925
javanrud,34.7961,46.5172,-3.0,80,0,1.71,IR,1613361925
bang saphan,11.2126,99.5117,31.0,66,40,2.06,TH,1613361925
fez,34.0372,-4.9998,9.0,71,0,3.6,MA,1613361925
nishihara,26.1842,127.7558,22.0,43,75,7.2,JP,1613361925
chardara,41.2547,67.9692,12.19,51,0,3.36,KZ,1613361926
mahebourg,-20.4081,57.7,24.0,88,40,2.06,MU,1613361926
bantry,51.6833,-9.45,9.0,93,75,7.72,IE,1613361926
greencastle,39.6445,-86.8647,-9.44,79,90,4.63,US,1613361926
naze,28.3667,129.4833,20.0,64,20,8.75,JP,1613361854
slavyanka,42.8633,131.3847,-6.94,93,100,9.77,RU,1613361927
wageningen,51.9667,5.6667,2.22,51,75,7.2,NL,1613361927
saint paul,44.9444,-93.0933,-22.0,49,1,4.63,US,1613361650
aklavik,68.2191,-135.0107,-19.0,84,99,0.51,CA,1613361927
lujiang,31.2581,117.2817,11.67,81,75,6.0,CN,1613361928
lubu,23.1742,112.2809,23.89,99,0,2.17,CN,1613361928
colares,38.7992,-9.4469,12.78,67,58,5.36,PT,1613361928
pangkalanbuun,-2.6833,111.6167,32.94,53,75,1.5,ID,1613361928
teruel,40.6667,-0.6667,7.0,100,100,4.63,ES,1613361928
birao,10.2849,22.7882,21.23,24,46,2.84,CF,1613361929
esperance,-33.8667,121.9,31.0,27,23,3.09,AU,1613361929
kruisfontein,-34.0033,24.7314,19.44,83,93,3.13,ZA,1613361929
tapiramuta,-11.8472,-40.7914,16.58,100,55,1.49,BR,1613361929
laguna,38.421,-121.4238,10.56,76,90,2.57,US,1613361929
mansa,29.9833,75.3833,20.55,28,69,1.72,IN,1613361930
benjamin constant,-4.3831,-70.0311,25.0,100,40,1.41,BR,1613361930
mackay,-21.15,149.2,31.0,51,90,5.14,AU,1613361713
tromso,69.6496,18.957,1.0,86,75,1.03,NO,1613361930
vestmannaeyjar,63.4427,-20.2734,6.57,80,100,6.24,IS,1613361930
krasnorechenskiy,44.6265,135.3532,-4.65,96,100,2.17,RU,1613361931
adrasmon,40.6472,69.9856,9.0,57,2,6.0,TJ,1613361931
huron,41.1501,-82.5499,-9.44,88,97,3.1,US,1613361931
bayanday,53.0661,105.5139,-19.96,84,2,4.52,RU,1613361931
hamilton,39.1834,-84.5333,-6.11,73,90,6.17,US,1613361694
moundsville,39.9203,-80.7431,-1.67,68,90,2.57,US,1613361931
san patricio,28.017,-97.5169,-1.0,93,90,12.86,US,1613361932
novosergiyevka,52.0934,53.6528,-19.59,91,10,3.26,RU,1613361932
miguel auza,24.2933,-103.4503,10.75,40,42,9.99,MX,1613361932
chifeng,42.2683,118.9636,-8.88,74,25,2.33,CN,1613361932
saint-georges,12.0564,-61.7485,26.0,78,20,7.2,GD,1613361932
saint-francois,46.4154,3.9054,-1.0,86,0,2.06,FR,1613361933
byron bay,-28.65,153.6167,25.0,69,75,8.75,AU,1613361933
saint anthony,45.0205,-93.218,-23.0,49,1,2.06,US,1613361933
vanavara,60.34,102.2797,-31.21,82,1,1.11,RU,1613361934
lorengau,-2.0226,147.2712,28.68,74,100,2.46,PG,1613361934
caravelas,-17.7125,-39.2481,23.82,84,100,2.85,BR,1613361736
santo antonio do leverger,-15.8656,-56.0767,24.0,78,75,2.06,BR,1613361934
magadi,12.9667,77.2333,25.56,36,63,1.54,IN,1613361934
inongo,-1.95,18.2667,23.17,91,99,1.98,CD,1613361662
chor,25.5167,69.7667,22.6,40,33,2.49,PK,1613361935
sawtell,-30.3833,153.1,26.0,61,90,9.77,AU,1613361935
coari,-4.085,-63.1414,24.49,89,100,0.61,BR,1613361935
berlevag,70.8578,29.0864,-4.33,92,84,2.97,NO,1613361876
mogadishu,2.0371,45.3438,24.91,80,65,7.44,SO,1613361935
estevan,49.1334,-102.9842,-27.0,76,1,1.54,CA,1613361663
tautira,-17.7333,-149.15,28.0,69,40,5.14,PF,1613361936
kozan,37.4552,35.8157,12.78,100,40,2.57,TR,1613361936
cabedelo,-6.9811,-34.8339,26.0,89,20,2.57,BR,1613361936
riyadh,24.6877,46.7219,15.0,29,0,1.91,SA,1613361936
salinas,36.6777,-121.6555,12.0,71,90,2.06,US,1613361937
srednekolymsk,67.45,153.6833,-28.19,85,9,3.99,RU,1613361937
cap malheureux,-19.9842,57.6142,28.33,73,100,1.34,MU,1613361937
te anau,-45.4167,167.7167,18.5,57,4,3.37,NZ,1613361937
dillon,34.4166,-79.3712,5.0,100,90,4.63,US,1613361937
poum,-20.2333,164.0167,26.81,76,5,2.51,NC,1613361938
xinqing,48.2333,129.5,-15.7,81,94,2.8,CN,1613361938
sioux city,42.5,-96.4003,-23.89,64,1,3.6,US,1613361762
ahuimanu,21.4447,-157.8378,25.0,73,75,3.6,US,1613361938
vestmanna,62.1564,-7.1664,8.0,87,75,6.17,FO,1613361938
krasnoselkup,65.7,82.4667,-26.62,85,100,10.52,RU,1613361846
bitung,1.4451,125.1824,24.0,94,40,0.51,ID,1613361829
eureka,40.8021,-124.1637,10.0,97,100,0.45,US,1613361939
lompoc,34.6391,-120.4579,11.0,76,1,5.14,US,1613361935
constitucion,-35.3333,-72.4167,13.47,87,0,2.43,CL,1613361939
san bartolome de tirajana,27.9248,-15.5733,17.22,82,40,5.14,ES,1613361939
